app,score,date,thumbs_up,content
Hevy,5,2026-02-20,35,"This is one of the best apps I've come across. It's certainly the best one for tracking workouts. You can pick pre-loaded exercises or create your own. You can create your own workout routines. It then tracks weight, reps, and/or time. The free version is essentially the same as the Pro version. The main difference is that Free allows you to create and track three or four routines, whereas for $30 a year, you can have unlimited routines. Either way, it awesome. Highly recommended."
Hevy,5,2025-09-11,81,"I use the monthly paid version ($2.99 a month), and it's exactly what I needed in a workout tracking app. Plenty of pre-loaded exercises with animations and how-to descriptions if you need a reminder, plus the ability to create custom exercises. I also enjoy being able to take a workout plan from the app and edit it as needed. Support is also responsive and timely!"
Hevy,5,2026-05-13,1,"Really great app. The free version has literally everything I need to track my workouts. I love how easy it is to use. I can swap exercises in my program with a couple taps. I love the exercise library and pre-con programs. There's also a plate math calculator!! And you can customize it!! No ads, no bloat, just a great tool. The social aspect is an added bonus! Don't sleep on this app."
Hevy,5,2026-05-20,0,"I love this app for tracking my workouts! It's so easy to use and customize. I love that it syncs with Strava, too, since the cardio tracking isn't quite as good as the weightlifting tracking. It's super fun receiving medals for progress! It provides helpful info on correct form and has pretty much every exercise you could want. If you have a lot of different routines, you'd need to upgrade, but I'm perfectly fine with the 4 free ones."
Hevy,5,2026-05-07,1,"Absolutely love this app. I love that it includes animations about how to do specific workouts, and I love all the growth tracking features. I feel like I've made more progress in the last two months with this app than I have in years without it! There is also a certain ""game"" element that I enjoy, in that I am constantly trying to beat my own records. It also contains tons of premade exercise routines. I never pay for apps, but this one was worth it."
Hevy,3,2026-05-14,0,"it is mostly easy to use; there is a comprehensive collection of exercises and building a routine is intuitive. there is even an option to create an exercise if the app doesn't contain it. however, users can only build a 4 day routine for free, any more is behind a pay wall. greed, plain and simple. it could be the best, but the devs are more concerned with profit over quality. still, it's better than most. barely."
Hevy,4,2026-05-08,2,I would like a larger variety of exercises that don't require equipment as much. I only have a bench and some adjustable weights. So I feel like my overall options are limited much like the space I have to work out. so far for having the app for a week I do find it convenient and easy to use and they don't try to price gouge you every month with barely anything to offer. 🧐👍
Hevy,3,2026-05-04,2,"Great app, but needs more exercises and content: different grip handles for machines, exercise variations, rest-pause logging, maybe even logging partial reps, etc. It also needs to allow you to save past notes you submitted for a previous exercise without having to retype them (it shows a preview only)! Unfortunately I will probably have to move on to another app that has more content near the end of my subscription. Hevy is great, but it needs some love."
Hevy,5,2026-05-17,0,"This app is great! it has everything you need to track a workout. logging exercises is easy, reviewing a graph of your past weight on each exercise is available to track progress. I use it for two separate routines at different gyms where the available weight machines are slightly different and I have to adjust the weight - Hevy reminds me of the previous weight I lifted on that routine which makes it easy for me. And, all that is on the free version!"
Hevy,5,2026-05-23,0,"I recommend to everyone I meet! This is user friendly and helps you with exercises if you don't know how to do them. I love you can add in your own exercises or equipment that is not in the app already. I barely tried the free trial and loved it, so I signed up for a year, but after that I may upgrade to lifetime! I love all the real life weight comparisons!"
Hevy,5,2026-05-12,0,"I love everything about this app. It gives you data about what you do, never its opinion about whether you've gone too hard or not hard enough. It tracks your lifts over time, and celebrates your PRs. Thoughtful features include rest timers, a thorough list of lifts with written and video instructions for each one, and very minimal social feed. I show this app to all my gym buddies, because it's so useful without any unnecessary bells and whistles."
Hevy,5,2026-05-15,2,"Great app for tracking your workouts and inexpensive compared to other apps (You pay the same amount for lifetime access as you would for a year of other apps). Granted, this app does not create workouts for you... but, in my mind, ID rather go to a free AI product and create a workout there and pay less here than pay a stupid amount of money to have the apps AI make something up. Plus, this way I have a lot more control over the final workout. Definitely worth a download to check it out."
Hevy,4,2026-04-28,0,"Great App for tracking routines and workouts especially when it comes to progressive overload. My only complaint would be content wise. Lifting the same truck gets boring. Maybe an Oak Tree, 4,000 Large Pumpkins, or 100 Sofas. That way, it's more of a game as to what you unlocked that day. Otherwise, a very solid app. I've lowered my rating by one star because I've experienced a few bugs and there's no way to catalog an entire workout program."
Hevy,4,2026-05-03,0,I like that you can copy workouts. Modification is easy. I like being able to take notes and trending. My biggest issue is that something changed in the last month so that when I change a weight it will not let me complete the rep unless I log out and log back in. It makes logging more time consuming in real time. I use the free version so I just suck it up.
Hevy,5,2026-05-16,0,"Before I downloaded Hevy I found it so difficult to actually track my progress. This app organizes it so well and makes each is so simple to track your progress in individual exercises, muscle groups, etc. And building your own workouts as a beginner is also incredibly easy as it will filter exercises for your needs to help you get started. I've been using it for about 2 years now and have put on significantly more muscle since starting the app."
Hevy,4,2026-05-21,0,"Absolutely love this app, it works great in helping you track your progress. The only true issue that I have with this app is that I copy my previous workouts for routine and not always do I complete each exercise due to time but keep them in for the next week.. that being said even if those exercises are not checked off per set, the app is still tracking those towards my volume lifted at the end thus not truly accurate in thw end. Would love to see this updated."
Hevy,5,2026-05-18,0,"I have the payed version, I like the selection of equipment it matches my gym pretty good, the trainer work really good, rotates exercises and equipment so it doesn't get stale and also gi e you replacement options if there's something you don't like or if a piece of equipment isn't available, seeing the past logs and set ratings helps alot, only thing i don't like is it doesn't have some of the past history if I switch routines."
Hevy,5,2026-03-24,2,"Love it. Setup routines ahead of time. Track reps, weights and sets as you go. Notes are visible right where you want them. The data from the previous workout is right on the screen so you can modify if needed. Rearrange or modify the routine on the fly if a station is not available or a different hit is wanted. Keep changes or discard them after. Very large exercise library as well the ability to add custom exercises. This is the perfect tool to use in the gym and when planning at home."
Hevy,5,2026-03-29,1,"I absolutely love this app. It's given me a way to keep track of my lifts, build out plans, doesn't constantly ask me for money, and the free version does everything you need it to. Can take notes about my workouts, can add in modifiers, can even make your own excersizes if you know how to import the right files. Wouldn't have the progress I've made so far without it. Easy win dog."
Hevy,5,2026-03-25,1,"I've used the free version of this app, for about 4yrs now. It has a large base of exercises and workouts. Options range from Free weights, machine weights, kettlebells, resistance, body weight, and cardio. All options have a ""How to"" for reference. It allows you to track workout time, Reps, Sets, weight, failure/warmup, supersets, has a section for notes, and you can save/view all prior workouts! I LOVE IT and I would highly recommend!!"
Hevy,1,2026-04-18,2,"I used to rate this app at 5 stars, but now I'm giving it a 1 because of multiple bugs or other issues. I filed a support request but just received an AI-generated email. I often can't save workouts or even log exercises. Usually the app doesn't tell me why: it just silently fails to register the button press. Other times their servers seem to be down. When I save a workout, I might see a spinner for a long time."
Hevy,5,2026-03-24,0,"I've used a variety of workout tracking apps, and this is the best one I've used. I've been using this app exclusively to track my workouts for over a year now. It's worth paying for the upgrade a you can use to customize and build multiple routines. It keeps track of all of my workouts for every type of exercise and allows me to track the weight, sets, reps, and volume since I began using the app. I really like how customizable and easy it is to adjust my plans."
Hevy,5,2026-04-21,2,"I absolutely recommend this app, makes tracking my daily workouts super easy, you can see your progress easily, see stats, get monthly reports,... and no ads, no horrible paywalls for premium version (there is a premium version for this app, but the standard version is very comprehensive and super easy to use that it doesn't feel like you're missing out). will keep using this app, and keep telling all my friends about it."
Hevy,5,2026-03-22,1,"Had the app for 3 weeks and I'm very impressed with it. It's what I thought I would get with Zepp and the new Fitbit interface, but they failed miserably. Heavy allowed me to build my own routines for each day and then it auto fills your previous weights and reps each exercise so you aren't having to keep a log in a notebook. That allows me to push my limits and get stronger and grow my muscles. Highly recommended!"
Hevy,5,2026-04-13,3,"This is the best workout app by far. It's like Instagram but it doesn't rot your brain. Not only is it easy to use, accurate, and free; it also encourages you to keep going to the gym by tracking your workout streak. The app also offers short gifs showing proper workout form and the muscle groups beind worked in a given exercise. It even shows you tips on proper form, and allows you to leave notes for yourself. I personally use it to remind myself to focus on my form."
Hevy,4,2026-04-10,1,"App is overall great and easy to use. being able to track my workouts and see what muscles are being targeted, helps keep me motivated. My only criticism, is that I wish they included more workout options. For example, ball ball or palates bar kit exercises. This app tends to be geared more towards those would have gym equipment or actually go to a gym. Still, it's an overall good app."
Hevy,5,2026-04-04,0,"I'm a week/ 3 workouts into the free version of Hevy. The best part for me so far is the motivation of seeing other people showing up! If they can do it, I can too... it's fairly intuitive, I was able to set up my first weight lifting workout without a problem, and u can log other things like walking, yoga, skiing... I'm very happy so far. editing to add I've made it to 50 workouts and paid for a lifetime subscription! nothing but great things to say about Hevy app"
Hevy,5,2026-04-10,0,"This is the app I always thought should exist, but I had no idea it would be better than my imaginary app. Truly, easy to use, easy to track my workouts, easy to see my schedule, easy for me to show off to my friends. I still have the free version, but I may upgrade soon. The free version is great, but there are a few more features in the paid version. Definitely recommend."
